#{"t_start": 1764201084.5089068, "env_id": "None"}
r,l,t
-1.5003113,2500,1669.624436
43.000664,2500,1669.62445
42.500244,2500,1684.322749
32.250633,2500,1684.322845
3.4997785,2500,1684.322866
4.4997807,2500,1684.322891
41.24996,2500,1684.322906
2.2495077,2500,1699.491724
10.749688,2500,1699.491825
34.5001,2500,1699.49185
26.249641,2500,1699.491867
12.7494335,2500,1699.491896
42.50095,2500,1722.80236
27.999489,2500,1722.802448
26.249578,2500,1722.802466
21.749672,2500,1722.802478
42.00086,2500,1722.802488
16.749756,2500,1737.541241
-10.7504015,2500,1737.541336
4.2498035,2500,1737.541356
13.749708,2500,1737.541372
18.499502,2500,1737.541386
0.24965332,2500,1752.089448
17.999582,2500,1752.08953
32.249928,2500,1752.089547
18.499657,2500,1752.089558
24.999668,2500,1752.089568
33.001057,2500,1766.812458
30.49983,2500,1766.812546
-12.250496,2500,1766.812562
17.249495,2500,1766.812574
14.999653,2500,1766.812584
17.249512,2500,1790.559121
1.499764,2500,1790.559232
26.749485,2500,1790.559249
32.250458,2500,1790.559261
11.749468,2500,1790.559271
12.99969,2500,1806.874375
-19.000483,2500,1806.874468
47.500927,2500,1806.874489
33.249775,2500,1806.8745
17.749527,2500,1806.87451
-18.0005,2500,1822.013899
43.00166,2500,1822.013988
15.749685,2500,1822.014004
47.00277,2500,1822.014016
-3.2503145,2500,1822.014026
-13.750273,2500,1836.972116
11.749527,2500,1836.972217
41.501045,2500,1836.972234
26.49956,2500,1836.972245
-2.0001988,2500,1836.972255
46.251167,2500,1851.659924
15.249676,2500,1851.660017
3.74964,2500,1851.660034
0.74978924,2500,1851.660045
15.999571,2500,1851.660056
-17.250357,2500,1874.116986
10.499502,2500,1874.117106
49.001266,2500,1874.117153
3.2497833,2500,1874.117173
-16.50029,2500,1874.11719
44.000618,2500,1889.332166
11.249753,2500,1889.332266
-17.000505,2500,1889.332288
42.252514,2500,1889.332304
1.9998415,2500,1889.33232
32.75073,2500,1904.072143
-3.750306,2500,1904.072242
9.749796,2500,1904.072264
26.999483,2500,1904.072281
44.250854,2500,1904.072296
17.249544,2500,1919.16672
12.749786,2500,1919.166825
14.499596,2500,1919.166852
9.99954,2500,1919.166871
0.9998114,2500,1919.166887
-11.000488,2500,1942.728283
26.749588,2500,1942.728373
16.999687,2500,1942.728389
10.999504,2500,1942.7284
15.249702,2500,1942.728411
26.999641,2500,1957.631002
10.499598,2500,1957.631098
18.24956,2500,1957.631116
25.749582,2500,1957.631144
16.499466,2500,1957.631156
30.499706,2500,1972.2617
4.7496567,2500,1972.261786
1.7497816,2500,1972.261803
-1.2501396,2500,1972.261841
